record_id,sample_id,taxon_id,value
494,2025-31,22,4
495,2025-31,56,8
496,2025-33,11,0.3
497,2025-33,31,0.2
498,2025-33,56,0.2
499,2025-37,23,1
500,2025-37,31,1
501,2025-40,9,0.5
502,2025-40,23,1
503,2025-40,31,0.5
504,2025-40,47,0.2
505,2025-40,56,0.1
506,2025-41,11,0.2
507,2025-41,24,1
508,2025-42,11,0.1
509,2025-42,23,2
510,2025-42,56,3
511,2025-43,2,0.5
512,2025-43,11,0.1
513,2025-43,31,1
514,2025-43,56,0.5
515,2025-46,56,0.4211
516,2036-17,9,0.3
517,2036-17,13,2
518,2036-17,31,4
519,2036-17,46,1
520,2036-20,1,0.1
521,2036-20,9,1
522,2036-20,11,0.1
523,2036-20,23,1
524,2036-20,31,0.5
525,2036-20,48,0.5
526,2036-22,9,1
527,2036-22,22,1
528,2036-25,23,3
529,2036-25,31,0.1
530,2036-25,36,0.2
531,2036-28,23,1
532,2036-28,31,1
533,2036-29,23,0.1
534,2036-29,31,0.4
535,2036-29,42,1.5
536,2036-30,9,0.5
537,2036-30,22,0.5
538,2036-31,23,0.1
539,2036-31,31,1
540,2036-32,45,3
541,2036-33,9,0.3
542,2036-33,31,0.5
543,2036-34,4,2
544,2036-35,9,0.1
545,2036-35,31,0.8
546,2036-35,54,0.1
547,2036-37,9,1.5
548,2036-37,11,1
549,2036-37,31,0.2
550,2036-38,23,1.5
551,2036-38,31,0.5
552,2036-40,9,0.2
553,2036-40,22,1.8
554,2036-40,30,2
555,2036-45,9,0.1
556,2036-45,23,0.1
557,2036-45,31,1.6
558,2036-45,54,0.1
559,2036-47,31,6
560,2036-48,11,0.1
561,2036-48,23,0.8
562,2036-48,31,0.1
563,2036-49,24,0.1
564,2036-49,31,4
565,2042-01,23,4
566,2042-05,23,2
567,2042-05,54,0.5
568,2042-06,23,8
569,2042-07,31,2.8
570,2042-07,44,0.2
571,2042-08,23,2
572,2042-14,23,4
573,2042-15,23,2
574,2042-15,44,0.2
575,2042-19,11,0.5
576,2042-19,23,1.5
577,2042-19,31,1.5
578,2042-19,44,0.5
579,2042-19,56,0.5
580,2042-21,23,3
581,2042-22,23,2
582,2042-24,23,2
583,2042-25,11,0.1
584,2042-25,23,2
585,2042-25,31,1
586,2042-25,44,0.1
587,2042-25,54,0.8
588,2042-26,23,3
589,2042-26,31,0.2
590,2042-26,44,0.1
591,2042-33,2,0.3
592,2042-33,9,0.5
593,2042-33,11,2
594,2042-33,23,1.5
595,2042-33,31,0.5
596,2042-33,44,0.5
597,2042-34,23,4
598,2042-38,11,0.1
599,2042-38,23,2
600,2042-38,53,3
601,2042-38,54,0.5
602,2042-43,23,2
603,2042-47,23,3
604,2042-48,23,3
605,2042-49,23,4
606,2042-49,56,0.2
607,2246-04,24,10
608,2246-05,24,6
609,2246-07,24,8
610,2246-09,24,5
611,2246-10,24,8
612,2246-10,36,0.3
613,2246-11,24,8
614,2246-11,29,0.1
615,2246-11,58,1
616,2246-12,9,1
617,2246-12,24,9
618,2246-14,8,0.1
619,2246-14,24,15
620,2246-15,3,0.1
621,2246-15,23,0.1
622,2246-15,24,16
623,2246-15,31,0.5
624,2254-02,12,0.1
625,2254-02,31,0.1
626,2254-02,42,0.3
627,2254-03,42,0.5
628,2254-04,28,1
629,2254-04,31,0.1
630,2254-04,44,0.1
631,2254-04,46,0.2
632,2254-05,9,0.5
633,2254-05,28,0.3
634,2254-05,31,1.2
635,2254-10,8,0.1
636,2254-10,28,0.1
637,2254-10,31,0.5
638,2254-12,8,0.1
639,2254-12,9,0.1
640,2254-12,28,0.1
641,2254-12,31,0.3
642,2254-12,44,0.1
643,2254-14,9,0.1
644,2254-14,31,0.5
645,2254-16,31,1
646,2254-17,46,1
647,2254-20,23,1
648,2254-20,31,0.1
649,2254-20,42,1
650,2254-21,31,0.3
651,2254-23,28,0.1
652,2254-23,31,1
653,2254-31,42,0.2
654,2254-32,31,1
655,2254-39,9,0.1
656,2254-39,11,0.1
657,2254-39,17,0.2
658,2254-39,28,0.1
659,2254-39,31,0.2
660,2254-39,44,0.1
661,2254-40,46,0.2
662,2254-42,23,0.2
663,2254-42,42,1.3
664,2254-44,35,1
665,2254-48,42,1
666,2254-48,54,0.1
667,2265-04,31,0.4
668,2265-04,44,0.1
669,2265-06,23,1
670,2265-06,44,0.1
671,2265-07,23,0.3
672,2265-09,4,1.5
673,2265-09,11,0.5
674,2265-09,44,0.1
675,2265-10,11,0.1
676,2265-10,31,0.5
677,2265-12,24,1
678,2265-13,23,1
679,2265-18,20,3
680,2265-18,22,4
681,2265-18,29,1
682,2265-19,9,0.1
683,2265-19,22,0.1
684,2265-21,9,0.2
685,2265-21,11,0.1
686,2265-21,28,0.1
687,2265-21,31,0.5
688,2265-22,9,0.3
689,2265-22,22,0.2
690,2265-24,9,0.3
691,2265-24,11,0.1
692,2265-24,31,0.1
693,2265-30,31,0.1
694,2265-30,42,0.8
695,2265-31,23,0.8
696,2265-32,9,0.1
697,2265-32,11,0.1
698,2265-32,23,0.2
699,2265-32,54,0.1
700,2265-34,23,2
701,2265-37,9,0.1
702,2265-37,11,0.1
703,2265-37,15,0.1
704,2265-37,23,0.5
705,2265-37,31,1.2
706,2265-37,35,0.5
707,2265-41,23,0.4
708,2265-43,11,1
709,2265-43,15,0.1
710,2265-43,28,0.1
711,2265-43,31,0.5
712,2265-45,6,0.1
713,2265-45,9,0.1
714,2265-45,11,0.1
715,2265-45,23,0.5
716,2265-45,31,1.2
717,2265-45,46,0.2
718,2272-02,4,1.2
719,2272-02,23,0.3
720,2272-03,9,0.2
721,2272-03,11,1
722,2272-03,23,1
723,2272-03,31,1
724,2272-08,9,0.5
725,2272-08,11,0.1
726,2272-08,31,0.5
727,2272-08,64,6
728,2272-09,22,1
729,2272-09,44,0.1
730,2272-10,11,0.2
731,2272-10,31,0.3
732,2272-15,9,0.1
733,2272-15,31,3
734,2272-15,42,1
735,2272-29,2,0.1
736,2272-29,9,0.1
737,2272-29,23,0.2
738,2272-29,31,0.3
739,2272-31,2,0.1
740,2272-31,9,0.4
741,2272-31,11,0.2
742,2272-31,15,0.1
743,2272-31,31,1
744,2272-31,44,0.2
745,2272-32,4,1.5
746,2272-32,23,0.5
747,2272-33,11,0.1
748,2272-33,31,0.3
749,2272-33,42,0.3
750,2272-33,54,0.4
751,2272-34,9,0.8
752,2272-34,11,0.2
753,2272-34,22,2
754,2272-35,7,0.5
755,2272-35,9,0.5
756,2272-35,11,0.1
757,2272-35,42,2
758,2272-36,9,0.5
759,2272-36,31,1.3
760,2272-36,54,0.5
761,2272-39,22,3
762,2272-40,4,1.4
763,2272-40,15,0.1
764,2272-40,23,0.2
765,2272-40,25,0.1
766,2272-40,44,0.2
767,2272-41,3,0.1
768,2272-41,23,1
769,2272-41,31,0.3
770,2272-42,2,0.2
771,2272-42,11,0.1
772,2272-42,23,0.5
773,2272-44,9,0.1
774,2272-44,11,0.1
775,2272-44,37,0.8
776,2281-01,24,28
777,2281-01,43,0.2
778,2281-02,4,0.5
779,2281-02,24,12
780,2281-02,64,2.5
781,2281-09,24,10
782,2281-09,33,0.5
783,2281-09,64,1
784,2281-11,8,0.2
785,2281-11,24,19
786,2281-14,24,9
787,2281-14,44,0.1
788,2281-18,3,0.2
789,2281-18,4,0.1
790,2281-18,24,20
791,2281-20,24,22
792,2281-20,64,0.2
793,2281-23,3,0.2
794,2281-23,8,3
795,2281-23,20,0.1
796,2281-23,24,12
797,2281-23,50,0.1
798,2281-25,24,20
799,2281-25,64,2
800,2281-28,24,15
801,2281-29,22,0.5
802,2281-29,24,11
803,2281-29,43,0.2
804,2281-31,10,0.2
805,2281-31,24,28
806,2281-31,43,0.2
807,2281-32,3,0.2
808,2281-32,24,10
809,2281-32,64,3
810,2281-34,8,1.8
811,2281-34,24,12
812,2281-34,27,3
813,2281-34,29,0.1
814,2281-34,50,0.1
815,2281-37,4,2
816,2281-37,24,10
817,2281-39,3,0.2
818,2281-39,24,23
819,2281-43,19,0.2
820,2281-43,20,0.1
821,2281-43,24,24
822,2281-43,35,0.1
823,2281-48,9,0.2
824,2281-48,13,0.1
825,2281-48,24,10
826,2281-49,4,0.1
827,2281-49,24,5
828,2281-50,10,0.2
829,2281-50,24,10
830,2289-01,12,0.5
831,2289-01,44,0.1
832,2289-03,12,0.5
833,2289-03,27,2
834,2289-03,50,0.1
835,2289-03,59,0.1
836,2289-03,64,0.3
837,2289-04,31,3
838,2289-04,43,3
839,2289-05,12,1
840,2289-05,27,3
841,2289-05,31,2
842,2289-06,12,0.2
843,2289-06,20,3
844,2289-06,24,1
845,2289-07,12,5
846,2289-07,19,2
847,2289-07,24,0.1
848,2289-07,27,0.1
849,2289-07,31,2
850,2289-07,39,0.2
851,2289-09,4,0.1
852,2289-09,12,0.7
853,2289-09,31,0.2
854,2289-12,4,0.1
855,2289-12,12,2
856,2289-12,64,0.1
857,2289-14,4,0.2
858,2289-14,12,0.1
859,2289-14,13,1
860,2289-18,20,2
861,2289-22,12,0.3
862,2289-22,58,0.2
863,2289-22,64,1
864,2289-23,12,3
865,2289-24,12,4
866,2289-25,12,0.5
867,2289-25,31,2
868,2289-25,41,2
869,2289-25,44,0.3
870,2289-30,12,4
871,2289-30,64,0.2
872,2289-31,12,1
873,2289-38,12,0.1
874,2289-38,24,0.1
875,2289-38,27,4
876,2289-38,31,0.2
877,2289-38,44,0.1
878,2289-44,12,4
879,2289-44,52,0.2
880,2289-45,4,0.2
881,2289-45,12,6
882,2289-45,50,0.1
883,2289-46,29,0.7
884,2289-46,31,0.2
885,2292-01,9,0.5
886,2292-01,10,2
887,2292-01,24,9
888,2292-01,31,4
889,2292-01,49,0.3
890,2292-01,56,0.1
891,2292-01,64,2
892,2292-02,9,0.1
893,2292-02,10,0.2
894,2292-02,31,1.6
895,2292-04,4,0.2
896,2292-04,10,3
897,2292-04,17,0.1
898,2292-04,24,7
899,2292-04,26,0.1
900,2292-04,31,2
